Link,Fiyat,Oda Sayısı,Bulunduğu Kat,Metrekare,Konum,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Salon Metrekare,WC Sayısı,Fiyat Durumu,Görüntülü Gezilebilir mi?,Ada,Parsel
https://www.emlakjet.com/ilan/fsm-caddesine-100m-merkezi-konumda-aydinlik-salkim-1-sitesi-31-kiralik-daire-17341809/,28.000 TL,3+1,5. Kat,155 m²,Bursa - Nilüfer - Esentepe Mahallesi,17341809,15 Mayıs 2025,15 Mayıs 2025,Konut,Kiralık,Daire,140 m²,155 m²,16-20,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,1949,4
https://www.emlakjet.com/ilan/gorukle-21-esyali-site-icinde-kiralik-daire-17267459/,13.000 TL,2+1,5. Kat,65 m²,Bursa - Nilüfer - Dumlupınar Mahallesi,17267459,02 Mayıs 2025,14 Mayıs 2025,Konut,Kiralık,Daire,55 m²,65 m²,11-15,5,Kombi Doğalgaz,Boş,İkinci El,Eşyalı,,Kat Mülkiyeti,Evet,,1,,Var,,1,Genel Fiyat,Evet,5543,1
https://www.emlakjet.com/ilan/turyap-city-den-camlica-ona-residence-kiralik-31-daire-16789686/,55.000 TL,3+1,9. Kat,158 m²,Bursa - Nilüfer - Çamlıca Mahallesi,16789686,07 Şubat 2025,17 Mayıs 2025,Konut,Kiralık,Daire,133 m²,158 m²,3,11,Merkezi Doğalgaz,Boş,,,2950 TL,Kat Mülkiyeti,Hayır,100000 TL,2,,,,,Genel Fiyat,,3904,1
https://www.emlakjet.com/ilan/kiralik-daire-esyasiz-16251110/,12.000 TL,1+1,2. Kat,46 m²,Bursa - İnegöl - Akhisar Mahallesi,16251110,11 Kasım 2024,11 Mart 2025,Konut,Kiralık,Daire,40 m²,46 m²,0 (Yeni),4,Yerden Isıtma,Boş,,Boş,,Bilinmiyor,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/akhisar-da-sifir-kiralik-daire-son-iki-tane-16251096/,15.000 TL,3+1,Düz Giriş (Zemin),155 m²,Bursa - İnegöl - Akhisar Mahallesi,16251096,11 Kasım 2024,11 Mart 2025,Konut,Kiralık,Daire,140 m²,155 m²,0 (Yeni),1,Kombi Doğalgaz,Boş,,Boş,,Bilinmiyor,Evet,,2,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/bursa-inegol-vizyon-inegol-projesinde-kiralik-daire-16141676/,25.000 TL,3+1,3. Kat,155 m²,Bursa - İnegöl - Akhisar Mahallesi,16141676,23 Ekim 2024,11 Mart 2025,Konut,Kiralık,Daire,140 m²,155 m²,0 (Yeni),6,Yerden Isıtma,Boş,,,,Bilinmiyor,Hayır,,2,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/bursa-goruklede-kiralik-odalar-17373342/,7.000 TL,Stüdyo,2. Kat,15 m²,Bursa - Nilüfer - Görükle Mahallesi,17373342,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,12 m²,15 m²,5-10,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,,,,,Genel Fiyat,,5541,15
https://www.emlakjet.com/ilan/ev-sahibinden-kiralik-daire-17372257/,10.000 TL,3+1,Düz Giriş (Zemin),1.100 m²,Bursa - Yıldırım - Güllük Mahallesi,17372257,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,90 m²,1.100 m²,21 Ve Üzeri,3,Kombi Doğalgaz,Boş,İkinci El,Boş,0 TL,Kat Mülkiyeti,Hayır,10000 TL,1,3 m²,Yok,15 m²,1,Genel Fiyat,Hayır,1058,16
https://www.emlakjet.com/ilan/peys-den-balat-endulus-parkta-11-esyali-kiralik-daire-17372243/,25.000 TL,1+1,6. Kat,70 m²,Bursa - Nilüfer - Balat Mahallesi,17372243,21 Mayıs 2025,22 Mayıs 2025,Konut,Kiralık,Daire,55 m²,70 m²,5-10,11,Merkezi (Pay Ölçer),Boş,İkinci El,Eşyalı,,Kat Mülkiyeti,Evet,,1,,Var,,1,Genel Fiyat,,4197,8
https://www.emlakjet.com/ilan/gazi-caddesinde-31-kiralik-ferah-bakimli-ve-merkezi-daire-17372227/,26.500 TL,3+1,2. Kat,135 m²,Bursa - Nilüfer - Cumhuriyet Mahallesi,17372227,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,120 m²,135 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,26500 TL,1,,,,,Genel Fiyat,,1329,3
