Link,Fiyat,Konum,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt Metrekare,Net Metrekare,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Site İçerisinde,Cephe,Depozito,Aidat,Yetkili Ofis
https://www.hepsiemlak.com/bursa-orhangazi-arapzade-kiralik/daire/124070-122,25.000 TL,Bursa Orhangazi Arapzade Mah.,124070-122,24-04-2025,Kiralık,Daire,Daire,3 + 1,1,1402 m2,1302 m2,4 Katlı,2. Kat,5 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,,Boş,,,25.000 TL,250 TL,Evet
https://www.hepsiemlak.com/bursa-yildirim-akcaglayan-kiralik/daire/122271-240,6.000 TL,Bursa Yıldırım Akçağlayan Mah.,122271-240,21-05-2025,Kiralık,Daire,Daire,1 + 1,1,602 m2,552 m2,5 Katlı,Bodrum ve Zemin,30 Yaşında,Isıtma Yok,Elektrik,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,,6.000 TL,2 TL,Evet
https://www.hepsiemlak.com/bursa-gemlik-dr-ziya-kaya-kiralik/daire/146022-47,17.000 TL,Bursa Gemlik Dr. Ziya Kaya Mah.,146022-47,20-05-2025,Kiralık,Daire,Daire,2 + 1,1,992 m2,842 m2,2 Katlı,1. Kat,8 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Doğu, Batı",17.000 TL,,Evet
https://www.hepsiemlak.com/bursa-gemlik-balikpazari-kiralik/daire/135581-429,10.000 TL,Bursa Gemlik Balıkpazarı Mah.,135581-429,01-03-2025,Kiralık,Daire,Daire,3 + 1,1,1152 m2,1102 m2,5 Katlı,En Üst Kat,35 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Kuzey, Güney",10.000 TL,50 TL,Evet
https://www.hepsiemlak.com/bursa-yildirim-karaagac-kiralik/daire/112077-1467,14.000 TL,Bursa Yıldırım Karaağaç Mah.,112077-1467,29-04-2025,Kiralık,Daire,Daire,2 + 1,1,852 m2,802 m2,5 Katlı,Ara Kat,35 Yaşında,Merkezi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Güney, Doğu",14.000 TL,350 TL,Evet
https://www.hepsiemlak.com/bursa-nilufer-gorukle-kiralik/daire/113442-402,12.000 TL,Bursa Nilüfer Görükle Mah.,113442-402,17-05-2025,Kiralık,Daire,Daire,2 + 1,1,602 m2,502 m2,5 Katlı,2. Kat,6 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,,Betonarme,İkinci El,,,,,,Evet
https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/129443-84,11.000 TL,Bursa Nilüfer Dumlupınar Mah.,129443-84,19-04-2025,Kiralık,Daire,Daire,1 + 1,1,552 m2,452 m2,4 Katlı,Ara Kat,1 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,Görükle Park Evleri Sitesi,"Güney, Doğu",10.000 TL,,Evet
https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/146454-23,14.000 TL,Bursa Nilüfer Dumlupınar Mah.,146454-23,17-04-2025,Kiralık,Daire,Daire,2 + 1,1,902 m2,752 m2,4 Katlı,3. Kat,12 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,,Kuzey,15.000 TL,700 TL,Evet
https://www.hepsiemlak.com/bursa-nilufer-cumhuriyet-kiralik/daire/0-27626897,24.000 TL,Bursa Nilüfer Cumhuriyet Mah.,0-27626897,21-04-2025,Kiralık,Daire,Daire,3 + 1,1,1502 m2,1402 m2,6 Katlı,2. Kat,10 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Burcu Sitesi (Bursa, Nilüfer, 23 Nisan)",,24.000 TL,250 TL,
https://www.hepsiemlak.com/bursa-nilufer-gorukle-kiralik/daire/0-44347014,15.000 TL,Bursa Nilüfer Görükle Mah.,0-44347014,18-03-2025,Kiralık,Daire,Daire,1 + 1,1,652 m2,502 m2,5 Katlı,1. Kat,9 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,,,,15.000 TL,,
