listing_url,scrape_date,price,location,Emlak Tipi,m² (Brüt),m² (Net),Oda Sayısı,Bulunduğu Kat,Isıtma,1.Oda,1.Salon,2.Oda,3.Oda,Ada No,Aidat (TL),Balkon,Banyo Sayısı,Bina Yaşı,Depozito,Eşyalı,Görüntülü Arama İle Gezilebilir,Kat Sayısı,Krediye Uygun,Kullanım Durumu,Latitude,Longitude,Parsel No,Site İçerisinde,Tapu Durumu,Ticari Kullanıma Uygun,Tuvalet Sayısı,Yapının Durumu,m2 (Brüt),m2 (Net)
https://www.remax.com.tr/portfoy/P57162515,2025-05-08,25.000,Bursa / Yıldırım/ Mollaarap Mah.,Daire,105,90,2.5+1,Yüksek Giriş,Doğalgaz (Kombi),,,,,581,200,Var,1,10-15,25.000,Hayır,Hayır,5,,Boş,40.17581995178486,29.074088765984342,49,,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P01235032,2025-05-08,14.000,Bursa / Osmangazi/ Altıparmak Mah.,Daire,90,74,2+1,1,Doğalgaz (Kombi),"18,0 m²","9,0 m²","16,0 m²",,5441,50,Var,1,26-30,30.000,Evet,Evet,3,,Boş,40.1920663,29.0523222,1,Hayır,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P56288848,2025-05-08,30.000,Bursa / Yıldırım/ Kazım Karabekir Mah.,Daire,280,220,5+1,5,Doğalgaz (Kombi),,,,,3127,,Var,4,10-15,30.000,Hayır,Evet,5,,Boş,40.20676462676728,29.09620424072266,2,,Kat Mülkiyetli Tapu,Hayır,4+,2.EL,,
https://www.remax.com.tr/portfoy/P17417123,2025-05-08,21.000,Bursa / Mudanya/ Kumyaka Mah.,Daire,,,2+1,Giriş Katı,Soba,"11,0 m²","16,0 m²","11,0 m²",,,,Var,1,21-25,,Evet,,4,,Mülk Sahibi,40.384533,28.827512,,Hayır,Tapu Kaydı Yok,,,2.EL,100,80
https://www.remax.com.tr/portfoy/P73086574,2025-05-08,20.000,Bursa / Nilüfer/ Hasanağa Mah.,Daire,118,91,2+1,3,Doğalgaz (Kombi),,,,,179,,Var,2,1,20.000,Hayır,Evet,10,,Boş,40.19109133865829,28.804797124420162,2,,Kat İrtifaklı Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P34685180,2025-05-08,42.000,Bursa / Yıldırım/ Akçağlayan Mah.,Daire,145,125,3+1,Bahçe Katı,Doğalgaz (Kombi),,,,,5448,912,Var,1,10-15,84.000,Evet,Hayır,3,,Mülk Sahibi,40.1730822,29.1057682,3,Evet,Kat Mülkiyetli Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P60341831,2025-05-08,22.500,Bursa / Nilüfer/ Ataevler Mah.,Daire,140,130,3+1,5,Doğalgaz (Kombi),,,,,1358,,Var,1,26-30,,Hayır,Hayır,5,,Boş,40.224154010113,28.96991392337,1,,Kat İrtifaklı Tapu,Hayır,,2.EL,,
https://www.remax.com.tr/portfoy/P02836051,2025-05-08,22.000,Bursa / Nilüfer/ Hasanağa Mah.,Daire,97,80,2+1,4,Doğalgaz (Kombi),,,,,179,,Var,2,1,22.000,Hayır,Evet,10,,Boş,40.170353,28.793961,2,,Kat İrtifaklı Tapu,Hayır,,2.EL,,
https://www.remax.com.tr/portfoy/P54841204,2025-05-08,34.000,Bursa / Nilüfer/ Ataevler Mah.,Daire,150,135,3+1,2,Doğalgaz (Kombi),,,,,1418,500,Var,1,10-15,35.000,Evet,Evet,5,,Mülk Sahibi,40.225968452300144,28.960451089965815,2,Hayır,Kat Mülkiyetli Tapu,,2,2.EL,,
https://www.remax.com.tr/portfoy/P20311526,2025-05-08,14.000,Bursa / Nilüfer/ Görükle Mah.,Daire,65,50,1+1,Giriş Katı,Doğalgaz (Kombi),,,,,5341,3.500,Var,1,4,28.000,Evet,Hayır,5,,Boş,40.2323304,28.8379714,44,Evet,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P08107511,2025-05-08,18.000,Bursa / Yıldırım/ Kazım Karabekir Mah.,Daire,170,140,3+1,3,Doğalgaz (Kombi),,,,,2830,,Var,1,26-30,18.000,Hayır,Evet,3,,Boş,40.199668403161006,29.096397359771732,2,Hayır,Arsa Tapusu,Hayır,,2.EL,,
https://www.remax.com.tr/portfoy/P45031438,2025-05-08,18.750,Bursa / Nilüfer/ Hasanağa Mah.,Daire,126,100,3+1,7,Yerden Isıtma,,,,,185,2.100,Var,2,0,18.750,Hayır,Hayır,9,,Boş,40.188255560597,28.811212968384,1,Evet,Kat İrtifaklı Tapu,Hayır,2,Sıfır,,
https://www.remax.com.tr/portfoy/P03821701,2025-05-08,38.500,Bursa / Nilüfer/ Ertuğrul Mah.,Daire,270,220,5+1,3,Doğalgaz (Kombi),,,,,997,1.900,Var,3,10-15,38.500,Hayır,Evet,3,,Boş,40.216807,28.9191987,3,Hayır,Kat Mülkiyetli Tapu,Hayır,4+,2.EL,,
https://www.remax.com.tr/portfoy/P87025776,2025-05-08,23.000,Bursa / Nilüfer/ Hasanağa Mah.,Daire,115,100,2+1,7,Doğalgaz (Kombi),,,,,179,,Var,2,1,23.000,Hayır,Evet,10,Hayır,Boş,40.170353,28.793961,2,Hayır,Kat İrtifaklı Tapu,,,2.EL,,
https://www.remax.com.tr/portfoy/P45100532,2025-05-08,33.000,Bursa / Nilüfer/ Ertuğrul Mah.,Daire,115,80,3+1,Yüksek Giriş,Merkezi (Pay Ölçer),,,,,1031,800,Var,1,10-15,33.000,Hayır,Hayır,7,,Kiracılı,40.2172649,28.9254868,6,Hayır,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P34861328,2025-05-08,25.000,Bursa / Nilüfer/ Balat Mah.,Daire,64,56,1+1,2,Doğalgaz (Kombi),,,,,4180,,Var,1,2,25.000,Hayır,Evet,7,,Boş,40.266192233919,28.941057775146,3,Evet,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P56254506,2025-05-08,14.000,Bursa / Nilüfer/ Dumlupınar Mah.,Daire,75,55,2+1,2,Doğalgaz (Kombi),"0,0 m²","0,0 m²","0,0 m²",,5603,500,Var,1,10-15,15.000,Evet,Hayır,3,,Boş,40.21976440594488,28.840315226844794,1,Evet,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P51485605,2025-05-08,21.500,Bursa / Nilüfer/ Hasanağa Mah.,Daire,156,130,3+1,4,Yerden Isıtma,,,,,179,,Var,2,1,21.500,Hayır,Hayır,9,,Boş,40.19114051295459,28.804904412780758,2,Evet,Kat İrtifaklı Tapu,Hayır,2,Sıfır,,
https://www.remax.com.tr/portfoy/P50824335,2025-05-08,25.000,Bursa / Osmangazi/ Alemdar Mah.,Daire,130,120,2.5+1,5,Doğalgaz (Kombi),,,,,2863,300,Var,1,21-25,35.000,Evet,Evet,6,,Boş,40.2108113,29.0341569,6,Hayır,Kat Mülkiyetli Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P28885307,2025-05-08,33.000,Bursa / Nilüfer/ Ataevler Mah.,Daire,205,180,3+1,4,Merkezi (Pay Ölçer),,,,,1344,,Var,2,16-20,33.000,Hayır,,8,,Boş,40.224559499153,28.978561365234,1,Evet,Kat Mülkiyetli Tapu,Evet,3,2.EL,,
https://www.remax.com.tr/portfoy/P73185511,2025-05-08,12.500,Bursa / Nilüfer/ Balkan Mah.,Daire,75,55,2+1,1,Doğalgaz (Kombi),"0,0 m²","0,0 m²","0,0 m²",,5712,,Yok,1,30+,12.500,Hayır,Hayır,5,,Boş,40.2189944,28.8206448,1,Evet,Kat Mülkiyetli Tapu,Hayır,,2.EL,,
https://www.remax.com.tr/portfoy/P41356143,2025-05-08,23.500,Bursa / Nilüfer/ Ataevler Mah.,Daire,150,125,3+1,En Üst Kat,Doğalgaz (Kombi),,,,,1412,1.500,Var,1,26-30,25.000,Hayır,Evet,4,,Boş,40.2202566,28.9573638,4,Evet,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P48452163,2025-05-08,17.500,Bursa / Nilüfer/ 30 Ağustos Zafer Mah.,Daire,90,75,2+1,3,Yerden Isıtma,,,,,6221,1.500,Var,1,1,17.500,Hayır,Hayır,5,,Boş,40.198739246135,28.828403766101,6,Hayır,Kat İrtifaklı Tapu,Hayır,1,Sıfır,,
